Model,Data,Accuracy_ZS,Accuracy_CA,Accuracy_PE,Accuracy_FULL
Flan-T5-Small (80M),COPA,59.8,56.6,52,49.6
Flan-T5-Small (80M),CSQA,29.2,37.7,30.8,28.3
Flan-T5-Small (80M),OBQA,14,32.6,24.8,29.6
Flan-T5-Small (80M),PIQA,62.5,57.6,54.2,51.1
Flan-T5-Small (80M),SIQA,41.7,42.5,42.3,42.3
Flan-T5-Base (250M),COPA,67,68.2,60.6,61.4
Flan-T5-Base (250M),CSQA,40.9,48.5,52.5,51.8
Flan-T5-Base (250M),OBQA,20,34,28.6,34
Flan-T5-Base (250M),PIQA,65.9,59.7,58.1,54
Flan-T5-Base (250M),SIQA,46.4,47.4,54.7,53.7
Flan-T5-Large (780M),COPA,72.8,71.6,87.6,84
Flan-T5-Large (780M),CSQA,51.6,51.5,62.2,67.6
Flan-T5-Large (780M),OBQA,24.2,39.4,53.4,52.8
Flan-T5-Large (780M),PIQA,71.4,65.5,72.7,60.6
Flan-T5-Large (780M),SIQA,51.4,48.1,68.6,66.7
Flan-T5-XL (3B),COPA,80.8,78.4,88.8,85.6
Flan-T5-XL (3B),CSQA,61.8,64.7,70.6,72.7
Flan-T5-XL (3B),OBQA,30,49.6,61,55.4
Flan-T5-XL (3B),PIQA,75.8,68.3,68.9,60.4
Flan-T5-XL (3B),SIQA,56.1,56.3,71.6,58.9
GPT-2-Base (125M),COPA,61,62.8,53,54.4
GPT-2-Base (125M),CSQA,25.5,36.4,23.8,27.4
GPT-2-Base (125M),OBQA,15.8,33.4,25.6,28
GPT-2-Base (125M),PIQA,62.1,57.1,54.6,52.6
GPT-2-Base (125M),SIQA,35.8,38,34.3,37.1
GPT-2-Medium (350M),COPA,67,70,49.4,54.2
GPT-2-Medium (350M),CSQA,30.9,41.8,27.4,30.1
GPT-2-Medium (350M),OBQA,18,38.6,26.8,27.4
GPT-2-Medium (350M),PIQA,66.2,57.5,51.8,52.6
GPT-2-Medium (350M),SIQA,36.9,40,36,38
GPT-2-Large (765M),COPA,69.8,69.4,51.4,57.4
GPT-2-Large (765M),CSQA,33.3,44.5,26.9,33.2
GPT-2-Large (765M),OBQA,21.6,41.4,25.2,29.4
GPT-2-Large (765M),PIQA,69.6,60.7,55,54.6
GPT-2-Large (765M),SIQA,36.6,40.3,34,35.6
GPT-2-XL (1.6B),COPA,69,71.6,51.4,53
GPT-2-XL (1.6B),CSQA,38.6,47.8,35.1,36.2
GPT-2-XL (1.6B),OBQA,22.4,43.2,25.8,29.4
GPT-2-XL (1.6B),PIQA,69.6,62.2,52.6,53.4
GPT-2-XL (1.6B),SIQA,39,41,35.2,35.9
T5-Small (80M),COPA,55.2,51.2,51.2,52.2
T5-Small (80M),CSQA,16.6,22.8,21.1,21
T5-Small (80M),OBQA,14.2,28.8,23.8,25.8
T5-Small (80M),PIQA,56.6,50.5,51.2,50.8
T5-Small (80M),SIQA,36.2,36.1,35,34.4
T5-Base (250M),COPA,59.6,59.4,51,51.8
T5-Base (250M),CSQA,26.1,30,20.6,22.5
T5-Base (250M),OBQA,15.8,30.8,27.8,27.2
T5-Base (250M),PIQA,61,57.7,51.7,53
T5-Base (250M),SIQA,36.2,37.6,37,33.5
T5-Large (780M),COPA,65.2,56.6,53.2,53.8
T5-Large (780M),CSQA,39.2,35.4,33.1,35.7
T5-Large (780M),OBQA,19,30.4,24.8,26.4
T5-Large (780M),PIQA,66.6,64.4,52.8,51.7
T5-Large (780M),SIQA,38.7,38.1,37,34.1